"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40016","Handling child window","","Sat Jul 05 12:36:04 CEST 2025","broken","Sat Jul 05 12:36:44 CEST 2025","","uiBasicstest.spec.js","",""
"","18129","First Playwright test","","Sat Jul 05 12:34:43 CEST 2025","passed","Sat Jul 05 12:35:01 CEST 2025","","uiBasicstest.spec.js","",""
"","41530","@QW Security test request intercept","","Sat Jul 05 12:34:36 CEST 2025","broken","Sat Jul 05 12:35:18 CEST 2025","","securityTest.spec.js","",""
"","2852","Visual Testing","","Sat Jul 05 12:33:44 CEST 2025","passed","Sat Jul 05 12:33:47 CEST 2025","","screenshotsTest.spec.js","",""
"","3378","Client App","","Sat Jul 05 12:33:07 CEST 2025","failed","Sat Jul 05 12:33:11 CEST 2025","","calenderValidation.spec.js","",""
"","40019","Client App","","Sat Jul 05 12:33:49 CEST 2025","broken","Sat Jul 05 12:34:29 CEST 2025","","clientApp.spec.js","",""
"","3021","get started link","","Sat Jul 05 12:33:21 CEST 2025","passed","Sat Jul 05 12:33:24 CEST 2025","","example.spec.js","",""
"","5102","Browser Context Playwright test","","Sat Jul 05 12:34:37 CEST 2025","passed","Sat Jul 05 12:34:42 CEST 2025","","uiBasicstest.spec.js","",""
"","9716","Take screeshot of the entire page","","Sat Jul 05 12:33:34 CEST 2025","passed","Sat Jul 05 12:33:44 CEST 2025","","screenshotsTest.spec.js","",""
"","7462","@web handle frames","","Sun Jul 06 11:42:20 CEST 2025","passed","Sun Jul 06 11:42:27 CEST 2025","","framesHandle.spec.js","",""
"","40011","Client App","","Sat Jul 05 12:33:49 CEST 2025","broken","Sat Jul 05 12:34:29 CEST 2025","","clientApp_otherLocator.spec.js","",""
"","5113","has title","","Sat Jul 05 12:33:16 CEST 2025","passed","Sat Jul 05 12:33:21 CEST 2025","","example.spec.js","",""
"","8882","UI Controls test","","Sat Jul 05 12:35:07 CEST 2025","failed","Sat Jul 05 12:35:16 CEST 2025","","uiBasicstest.spec.js","",""
"","2146","@API Place the order","","Sat Jul 05 12:33:02 CEST 2025","failed","Sat Jul 05 12:33:05 CEST 2025","","apiTestPart1.spec.js","",""
"","42919","Client App","","Sat Jul 05 12:34:03 CEST 2025","broken","Sat Jul 05 12:34:46 CEST 2025","","clientAppdemo.spec.js","",""
"","13876","@Webs Client App login for ZARA COAT 3","","Sun Jul 13 16:37:17 CEST 2025","passed","Sun Jul 13 16:37:31 CEST 2025","","ClientAppPO.spec.js","",""
